rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
115,1632,"Contra Force","NES/Famicom",7,2045,2045,2045,32,0,"","Konami","Konami","1992-09-30"
116,1654,"Dig Dug II: Trouble In Paradise","NES/Famicom",7,2027,2027,2027,26,0,"Arcade","Namco","Bandai","1989-12-01"
117,8617,"~Test Kit~ NES Control Deck Test Cartridge","NES/Famicom",7,2005,2005,2005,10,0,"","Nintendo","Nintendo",""
118,1527,"Adventures in the Magic Kingdom","NES/Famicom",7,1992,1992,1992,23,0,"2D Platforming","Capcom","Capcom","1990-06-01"
119,2863,"Kid Dracula","NES/Famicom",7,1992,1992,1992,52,0,"2D Platforming","Konami","Konami","1990-10-19"
120,1476,"Gyruss","NES/Famicom",7,1963,1963,1963,49,0,"Shoot 'em Up","Konami","Konami","1988-01-01"
121,1723,"The Great Waldo Search","NES/Famicom",7,1920,1920,1920,12,0,"Hidden Object","Radiance Software","THQ","1992-12-01"
122,2139,"Gimmick!","NES/Famicom",7,1908,1908,1908,29,0,"2D Platforming","Sunsoft","Sunsoft","1992-01-01"
123,2058,"Urban Champion","NES/Famicom",7,1904,1904,1904,47,0,"2D Fighting","","Nintendo","1984-11-14"
124,2062,"Wacky Races","NES/Famicom",7,1900,1900,1900,24,0,"2D Platforming","Atlus","Atlus","1991-12-25"
125,8754,"~Unlicensed~ Microsoft Windows 98","NES/Famicom",7,1898,1898,1898,20,0,"Simulation","Bei Tongfang","Bei Tongfang","2002-01-01"
126,1719,"The Goonies II","NES/Famicom",7,1888,1888,1888,38,0,"2D Platforming, Metroidvania","Konami","Konami","1987-03-18"
127,1692,"The Flintstones: The Rescue of Dino and Hoppy","NES/Famicom",7,1877,1877,1877,23,0,"2D Platforming","Sol","Taito","1991-12-01"
128,1744,"Ice Hockey","NES/Famicom",7,1876,1876,1876,21,0,"","","Nintendo","1988-01-01"
129,1961,"Snow Bros.","NES/Famicom",7,1867,1867,1867,57,0,"2D Platforming","Sol","Capcom","1991-01-01"
130,1900,"Rad Racer","NES/Famicom",7,1858,1858,1858,20,0,"Racing","Square","Nintendo","1987-08-01"
131,1628,"Commando","NES/Famicom",7,1834,1834,1834,33,0,"","Capcom","Capcom","1986-11-01"
132,1883,"Power Blade","NES/Famicom",7,1812,1812,1812,28,0,"2D Platforming","Natsume","Taito","1991-03-01"
133,1520,"The Addams Family","NES/Famicom",7,1788,1788,1788,22,0,"2D Platforming","Ocean Software","Ocean Software","1991-01-01"
134,1776,"Kick Master","NES/Famicom",7,1752,1752,1752,26,0,"2D Platforming","KID","Taito","1992-01-01"
135,2006,"Taboo: The Sixth Sense","NES/Famicom",7,1728,1728,1728,26,0,"Other","Rare","Tradewest","1989-04-01"
136,1497,"RoboCop","NES/Famicom",7,1725,1725,1725,30,0,"Run & Gun","Ocean Software","Data East","1989-01-01"
137,1726,"The Guardian Legend","NES/Famicom",7,1721,1721,1721,100,0,"Action-Adventure, Shoot 'em Up","Compile","Broderbund Software","1988-02-05"
138,2017,"Tennis","NES/Famicom",7,1720,1720,1720,20,0,"Sports - Tennis","Nintendo","Nintendo","1984-01-14"
139,1492,"Pinball Quest","NES/Famicom",7,1705,1705,1705,28,0,"Pinball","TOSE","Jaleco","1989-12-15"
140,1774,"The Karate Kid","NES/Famicom",7,1697,1697,1697,31,0,"Beat 'em Up, 2D Platforming","Atlus","LJN Entertainment","1987-11-01"
