rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
119,3717,"Puzzle Quest: Challenge of the Warlords","PlayStation Portable",41,523,523,523,56,0,"Tile Matching, Turn-Based RPG","Vicious Cycle Software | Monkey Bar Games","D3 Publisher","2007-03-16"
120,2923,"Black Rock Shooter: The Game","PlayStation Portable",41,513,513,513,105,0,"Action RPG","Imageepoch","Nippon Ichi Software","2013-04-25"
121,18066,"Pac-Man: Championship Edition","PlayStation Portable",41,505,505,505,25,0,"Maze Chase","Bandai Namco Games","Bandai Namco Games","2010-12-01"
122,3585,"Metal Gear Acid","PlayStation Portable",41,494,494,494,85,0,"Collectible Card Game, Stealth, Tactical RPG","Konami","Konami","2004-12-16"
123,26046,"~Homebrew~ Five Nights at Freddy's 2","PlayStation Portable",41,489,489,489,16,0,"Survival Horror","AlexDev2","AlexDev2","2014-11-11"
124,3132,"Ys: The Oath in Felghana","PlayStation Portable",41,489,489,489,95,0,"Action RPG","Nihon Falcom","Nihon Falcom, XSEED Games","2010-04-22"
125,10478,"Dynasty Warriors","PlayStation Portable",41,479,479,479,113,0,"Hack & Slash","Omega Force","Koei | Tecmo","2004-12-16"
126,18068,"Gladiator Begins","PlayStation Portable",41,476,476,476,60,0,"Action RPG, Arena Fighting","Goshow","Aksys Games","2010-09-14"
127,3549,"Gurumin: A Monstrous Adventure","PlayStation Portable",41,476,476,476,146,0,"Action RPG","Nihon Falcom","Nihon Falcom, Mastiff, 505 Games","2006-06-29"
128,6964,"The Impossible Game","PlayStation Portable",41,474,474,474,12,0,"Rhythm","Grip Digital","Grip Digital","2009-11-23"
129,18002,"Obscure: The Aftermath","PlayStation Portable",41,466,466,466,47,0,"","Hydravision Entertainment","Playlogic","2009-09-29"
130,3512,"Ape Escape Academy","PlayStation Portable",41,464,464,464,42,0,"Party","Shift","Sony Computer Entertainment","2004-12-30"
131,2343,"Bejeweled 2","PlayStation Portable",41,460,460,460,60,0,"","PopCap Games","Sony Online Entertainment","2010-06-29"
132,18355,"Fate/unlimited codes","PlayStation Portable",41,459,459,459,60,0,"3D Fighting","","Capcom","2009-06-18"
133,3969,"Hot Shots Golf: Open Tee","PlayStation Portable",41,451,451,451,95,0,"Sports - Golf","Clap Hanz","Sony Computer Entertainment","2004-12-12"
134,24908,"Planetarian: Chiisa na Hoshi no Yume","PlayStation Portable",41,439,439,439,12,0,"Visual Novel","Key","Prototype","2009-02-28"
135,18344,"Bleach: Heat the Soul 7","PlayStation Portable",41,438,438,438,43,0,"3D Fighting","","Sony Computer Entertainment","2010-02-02"
136,18157,"DJ Max Fever","PlayStation Portable",41,436,436,436,467,0,"Rhythm","Pentavision","PM Studios","2009-01-27"
137,17988,"Pac-Man World Rally","PlayStation Portable",41,433,433,433,91,0,"Kart Racing","Smart Bomb Interactive","Bandai Namco","2006-08-22"
138,18363,"Star Wars: The Force Unleashed","PlayStation Portable",41,433,433,433,57,0,"Action-Adventure, Hack & Slash","Krome Studios","LucasArts | Lucasfilm","2008-09-16"
139,14201,"Lunar: Silver Star Harmony","PlayStation Portable",41,432,432,432,95,0,"JRPG","Game Arts","","2009-01-01"
140,3939,"Sonic Rivals","PlayStation Portable",41,432,432,432,58,0,"2D Platforming, Racing","Backbone Entertainment","Sega","2006-11-21"
141,15419,"Dungeon Siege: Throne of Agony","PlayStation Portable",41,429,429,429,82,0,"Action RPG","SuperVillain Studios","2K Games","2006-10-30"
142,17995,"Hello Kitty: Puzzle Party","PlayStation Portable",41,416,416,416,16,0,"","Ubisoft","Ubisoft","2010-02-19"
143,3284,"Hysteria Project","PlayStation Portable",41,416,416,416,6,0,"Survival Horror","","Sanuk Games","2010-04-15"
144,3261,"Route 66","PlayStation Portable",41,415,415,415,9,0,"Hidden Object","Gameshastra","Gameshastra","2010-01-28"
145,17984,"Dr. Mini Games","PlayStation Portable",41,412,412,412,29,0,"Minigames","StormBASIC S.L.","StormBASIC S.L.","2010-12-21"
146,3467,"Death Jr.","PlayStation Portable",41,401,401,401,56,0,"3D Platforming","Backbone Entertainment","Konami","2005-08-16"
147,36934,"~Homebrew~ Cookie Clicker PSP","PlayStation Portable",41,396,396,396,11,0,"","XD","XD","2021-01-01"
148,18043,"~Prototype~ The Elder Scrolls Travels: Oblivion","PlayStation Portable",41,390,390,390,17,0,"Action RPG","Climax Studios","Bethesda Softworks","2006-05-02"
149,3923,"Hatsune Miku: Project DIVA 2nd","PlayStation Portable",41,387,387,387,108,0,"Rhythm","Dingo","Sega","2010-07-29"
150,6710,"Yu-Gi-Oh! 5D's Tag Force 5","PlayStation Portable",41,384,384,384,440,0,"Collectible Card Game","Konami","Konami","2010-09-16"
151,2135,"Gottlieb Pinball Classics","PlayStation Portable",41,380,380,380,131,0,"Pinball","Farsight Studios","System 3 | Play It","2006-02-10"
152,3038,"LEGO Harry Potter: Years 5-7","PlayStation Portable",41,376,376,376,29,0,"Action-Adventure","TT Fusion","Warner Bros. Interactive Entertainment","2011-11-11"
153,3944,"Wild Arms XF","PlayStation Portable",41,376,376,376,92,0,"Strategy, Turn-Based RPG","Media.Vision","XSEED Games","2008-03-11"
154,18440,"Shrek the Third","PlayStation Portable",41,375,375,375,52,0,"Action-Adventure, Beat 'em Up","Amaze Entertainment","Activision","2007-06-05"
155,18382,"Kurohyou: Ryu ga Gotoku Shinshou","PlayStation Portable",41,373,373,373,95,0,"Action-Adventure","AKI | syn Sophia","Sega","2010-09-22"
156,3979,"Disgaea: Afternoon of Darkness","PlayStation Portable",41,360,360,360,82,0,"","Nippon Ichi Software","Nippon Ichi Software","2007-10-30"
157,18529,"Namco Museum Battle Collection","PlayStation Portable",41,359,359,359,383,0,"Compilation","Namco","Namco","2005-02-24"
158,20273,"Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress","PlayStation Portable",41,356,356,356,55,0,"2D Fighting","Artdink, CyberConnect2 | CyberConnect","Bandai Namco","2006-03-30"
159,3053,"Dynasty Warriors: Strikeforce","PlayStation Portable",41,355,355,355,266,0,"","","","2009-02-26"
160,3474,"Gitaroo Man Lives!","PlayStation Portable",41,355,355,355,30,0,"Rhythm","iNiS","Koei | Tecmo","2006-11-15"
161,14498,"Cladun: This Is An RPG","PlayStation Portable",41,354,354,354,50,0,"Action RPG","System Prisma","Nippon Ichi Software","2010-09-20"
162,19924,"Dead or Alive: Paradise","PlayStation Portable",41,350,350,350,204,0,"Minigames","Project Venus","Koei | Tecmo","2010-03-30"
163,7047,"Dragon Quest & Final Fantasy in Itadaki Street Portable","PlayStation Portable",41,350,350,350,51,0,"Board Game","Think Garage","Square Enix","2006-05-25"
164,18538,"Pursuit Force","PlayStation Portable",41,347,347,347,153,0,"Racing, Vehicular Combat","BigBig Studios","Sony Computer Entertainment","2006-03-07"
165,3884,"Ace Combat X: Skies of Deception","PlayStation Portable",41,346,346,346,144,0,"Combat Flight Simulation","Access Games, Bandai Namco","Bandai Namco","2006-10-23"
166,16227,"Bloons","PlayStation Portable",41,344,344,344,28,0,"Puzzle","Hands-On Mobile","Digital Goldfish","2009-11-24"
167,18760,"Fate/Extra CCC","PlayStation Portable",41,344,344,344,101,0,"Turn-Based RPG","Type-Moon, Imageepoch","Marvelous Interactive, Aksys Games, Ghostlight","2013-03-28"
168,27302,"~Homebrew~ Geometry Dash","PlayStation Portable",41,339,339,339,6,0,"2D Platforming","Yerson Games","Homebrew - PlayStation Portable","2023-06-29"
169,3463,"Cho Aniki Zero: Muscle Brothers","PlayStation Portable",41,335,335,335,32,0,"Shoot 'em Up","extreme Co.","Aksys Games","2009-03-19"
170,2758,"Secret Agent Clank","PlayStation Portable",41,332,332,332,189,0,"3D Platforming, Stealth","High Impact Games","Sony Computer Entertainment","2008-06-17"
171,18072,"Super Dangan-Ronpa 2: Sayonara Zetsubou Gakuen","PlayStation Portable",41,330,330,330,162,0,"Visual Novel","Spike","Spike","2012-07-26"
172,14502,"Brandish: The Dark Revenant","PlayStation Portable",41,319,319,319,121,0,"","","","2009-03-19"
173,22454,"I Must Run!","PlayStation Portable",41,309,309,309,18,0,"Endless Runner","Gamelion Studios","Gamelion Studios","2010-12-14"
174,18090,"Pac-Man World 3","PlayStation Portable",41,304,304,304,62,0,"3D Platforming","Blitz Games","Namco","2005-12-06"
175,14494,"Tomb Raider: Anniversary","PlayStation Portable",41,297,297,297,78,0,"Action-Adventure, Cinematic Platforming","Crystal Dynamics","Eidos Interactive","2007-10-26"
176,10846,"Prinny: Can I Really Be the Hero?","PlayStation Portable",41,292,292,292,98,0,"","Nippon Ichi Software","Nippon Ichi Software","2009-02-17"
177,18136,"LEGO Star Wars III: The Clone Wars","PlayStation Portable",41,286,286,286,85,0,"Action-Adventure","TT Fusion","LucasArts | Lucasfilm","2011-03-22"
178,3928,"Mr. Karoshi","PlayStation Portable",41,286,286,286,15,0,"","Yoyo Games","Yoyo Games","2011-04-06"
179,16423,"Bloons TD","PlayStation Portable",41,284,284,284,40,0,"Tower Defense","Digital Goldfish","Digital Goldfish","2011-02-22"
180,18153,"DJMax Portable","PlayStation Portable",41,284,284,284,419,0,"Rhythm","Pentavision","Pentavision","2006-01-14"
181,3562,"The Legend of Heroes: A Tear of Vermillion","PlayStation Portable",41,273,273,273,76,0,"","Nihon Falcom","Bandai","2005-06-02"
182,26048,"~Homebrew~ Five Nights at Freddy's","PlayStation Portable",41,272,272,272,10,0,"Survival Horror","BasDEV","BasDEV","2014-08-08"
183,18121,"Bleach: Heat the Soul 2","PlayStation Portable",41,269,269,269,105,0,"3D Fighting","Raizing | Eighting","Sony Computer Entertainment","2005-11-01"
184,26060,"~Homebrew~ Five Nights at Freddy's 3","PlayStation Portable",41,266,266,266,7,0,"Survival Horror","AlexDev2","AlexDev2","2015-03-02"
185,18141,"Sonic Rivals 2","PlayStation Portable",41,264,264,264,36,0,"","Backbone Entertainment","","2007-11-13"
186,18149,"Need for Speed: Carbon - Own the City","PlayStation Portable",41,262,262,262,93,0,"Arcade Racing","Team Fusion","Electronic Arts","2006-10-31"
187,15395,"Brick Breaker","PlayStation Portable",41,260,260,260,30,0,"","Hydravision Entertainment","Bigben Interactive","2011-06-21"
