gameId,gameTitle,md5,romName,labels,patchUrl,region
11954,1941: Counter Attack,7af6266cc52234b5aa339b16695f7fc4,1941.7z <1941 - Counter Attack (900227 World)>,fbneo,,unknown
13762,Burning Fight,504d6fc6bb4a767eca363474d9bb644d,burningf.7z <Burning Fight (NGM-018)(NGH-018)>,fbneo,,unknown
12543,League Bowling,cee8c9264320a0b32eb4efb1496e5c2b,lbowling.7z <League Bowling (NGM-019)(NGH-019)>,fbneo,,unknown
12031,The King of Fighters '97,5bf98ad5e7c70133d8e41bdc36172a24,kof97.7z <The King of Fighters '97 (NGM-2320)>,fbneo,,unknown
12248,Puzzle Bobble 2 (Neo Geo),e0d17d88ad08e13d3a2cd4ef38f7c4d5,pbobbl2n.7z <Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo)>,fbneo,,unknown
12274,Street Fighter III: New Generation,e55f83016a5d5c33c093af927eb81846,sfiii.7z <Street Fighter III: New Generation (Euro 970204)>,fbneo,,unknown
11895,Wild West C.O.W.-Boys of Moo Mesa,5a5913127183c47bf3342315fc95e6c3,moomesa.7z <Wild West C.O.W.-Boys of Moo Mesa (ver EAB)>,fbneo,,unknown
12266,Marvel Super Heroes vs. Street Fighter,0321dd1f8f8113fe4c2a558d67567f0e,mshvsf.7z <Marvel Super Heroes vs Street Fighter (970625 Euro)>,fbneo,,unknown
12394,Contra,a83f0f76c2afad4f5d7260824430b798,"contra.7z <Contra (US / Asia, set 1)>",fbneo,,unknown
12241,Magician Lord,14ebcd8fa440a279fae066617a13cabc,maglord.7z <Magician Lord (NGM-005)>,fbneo,,unknown
11752,Garou: Mark of the Wolves,577029dbc6e6bb60afdb832cef943eb1,garou.7z <Garou - Mark of the Wolves (NGM-2530)>,fbneo,,unknown
12111,Elevator Action Returns,3180d6cdfd39a897d6aabc818887a000,elvactr.7z <Elevator Action Returns (Ver 2.2O 1995/02/20)>,fbneo,,unknown
11822,Marvel Super Heroes,1c90c082845e4b6a52ef8b5f2a0050a0,mshh.7z <Marvel Super Heroes (951117 Hispanic)>,fbneo,,unknown
12271,Super Street Fighter II: The New Challengers,358633096a3d3a4e1f93f61ea009b766,arcade\ssf2j.zip,fbneo,,unknown
11996,Buster Bros.,e60d52cc2664f3857c8c149c9d7ff62c,bbros.7z <Buster Bros. (USA)>,fbneo,,usa
13770,Eight Man,5e38e0ffa34dafe5053110568dc0cd3f,eightman.7z <Eight Man (NGM-025)(NGH-025)>,fbneo,,unknown
11983,Armored Warriors,371bf8fd34fcdd2326d6aa10c61cc70a,armwar.7z <Armored Warriors (941024 Europe)>,fbneo,,unknown
12084,Dungeons & Dragons: Tower of Doom,85712af9f7cc2ed48da39f14379e7756,ddtod.7z <Dungeons & Dragons - tower of doom (940412 Euro)>,fbneo,,unknown
12601,Ghost Pilots,16fe9c9d1350297c299034812394ebdb,gpilotsh.7z <Ghost Pilots (NGH-020)(US)>,fbneo,,unknown
11767,Shock Troopers,066ab7af0557bd4280c94dcf1e56d551,shocktro.7z <Shock Troopers (set 1)>,fbneo,,unknown
11794,Mega Man: The Power Battle,209b01d5d9b045d8cbcc9311e661e94d,megaman.7z <Mega Man - the power battle (951006 USA)>,fbneo,,unknown
13648,Battle Garegga,c0830de50cdf83cbe0f5e44e70c7dbf9,bgaregga.7z <Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)>,fbneo,,usa
11801,Blue's Journey,42db6408e1b36d120058548dc61840fc,bjourneyh.7z <Blue's Journey / Raguy (ALH-001)>,fbneo,,unknown
12183,Hook,5a582ef17d6a088d9cb644e4c1ea3cdd,hook.7z <Hook (World)>,fbneo,,world
11765,Baseball Stars 2,f0235aca225c29b7b47409be3db976b7,bstars2.7z <Baseball Stars 2>,fbneo,,unknown
11780,Dungeons & Dragons: Shadow Over Mystara,a3cfbfab71a065401bf0e7c7677a75bf,ddsom.7z <Dungeons & Dragons - shadow over mystara (960619 Euro)>,fbneo,,unknown
12366,RoboCop,93b9f9e761f6aabbdc2f50a60c374880,robocop.7z <Robocop (World revision 4)>,fbneo,,unknown
13794,Mutation Nation,3160045ee842fc9ab77b96e32e98fa34,mutnat.7z <Mutation Nation (NGM-014)(NGH-014)>,fbneo,,unknown
14978,Mortal Kombat II,1a1e7711672de486ce29704029108aa1,"mk2r42.7z <Mortal Kombat II (rev L4.2, hack)>",fbneo,,unknown
12023,Bubble Bobble,72a669a6a000928da3ab24c3a79e554c,"bublbobl.7z <Bubble Bobble (Japan, Ver 0.1)>",fbneo,,japan
