rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
23,11260,Spyro 2: Ripto's Rage!,PlayStation,12,7416,7416,7416,54,0,"3D Platforming, Collect-a-thon",Insomniac Games,Sony Computer Entertainment,1999-11-02,"Spyro 2: Ripto's Rage!, known as Spyro 2: Gateway to Glimmer in PAL regions, is a 1999 platform game developed by Insomniac Games and published by Sony Computer Entertainment for the PlayStation. It is the second installment in the Spyro series and a direct sequel to Spyro the Dragon (1998).",https://media.retroachievements.org/Images/089383.png,https://media.retroachievements.org/Images/074749.png,https://media.retroachievements.org/Images/107463.png,https://media.retroachievements.org/Images/107464.png,4.5
24,11280,Mega Man Legends,PlayStation,12,7361,7361,7361,48,0,"Action-Adventure, Third-Person Shooter",Capcom,Capcom,1997-12-18,"Mega Man Legends is a sub-series in the Mega Man franchise. While the main series is known for its 2D side-scrolling platformer gameplay with story that is told through cutscenes, this series instead features 3D action-adventure gameplay and a more detailed story.",https://media.retroachievements.org/Images/051475.png,https://media.retroachievements.org/Images/035690.png,https://media.retroachievements.org/Images/035688.png,https://media.retroachievements.org/Images/035689.png,4.5
25,11329,Einhänder,PlayStation,12,7167,7167,7167,49,0,Shoot 'em Up,Square,Squaresoft,1997-11-20,"Einhänder is a 1997 scrolling shooter video game developed and published by Square for the PlayStation. It was released in Japan on November 20, 1997 and in North America on May 5, 1998 by Sony Computer Entertainment. It was also re-released for the Japanese PlayStation Network on June 25, 2008. The name Einhänder is German and denotes a type of sword that is wielded with one hand, here used to refer to the single manipulator arm possessed by the player's spacecraft.",https://media.retroachievements.org/Images/113439.png,https://media.retroachievements.org/Images/057157.png,https://media.retroachievements.org/Images/031417.png,https://media.retroachievements.org/Images/031415.png,4.5
26,11346,Rayman,PlayStation,12,7139,7139,7139,58,0,2D Platforming,Ubisoft,Ubisoft,1995-09-09,"Rayman is a franchise of platformer video games, created by video game designer Michel Ancel for Ubisoft. Since the release of Rayman in 1995, the series has produced a total of 45 games across multiple platforms.",https://media.retroachievements.org/Images/109943.png,https://media.retroachievements.org/Images/050881.png,https://media.retroachievements.org/Images/035151.png,https://media.retroachievements.org/Images/035152.png,4.5
27,11278,Gran Turismo 2,PlayStation,12,6902,6902,6902,124,0,Racing Simulation,Polyphony Digital,Sony Computer Entertainment,1999-12-11,"Gran Turismo 2 is a 1999 sim racing video game developed by Polyphony Digital and published by Sony Computer Entertainment for the PlayStation. It is the sequel to Gran Turismo, the second installment of the Gran Turismo series, and the first video game to be developed by Polyphony Digital.",https://media.retroachievements.org/Images/086178.png,https://media.retroachievements.org/Images/057332.png,https://media.retroachievements.org/Images/015662.png,https://media.retroachievements.org/Images/015663.png,4.5
28,11264,The Legend of Dragoon,PlayStation,12,6746,6746,6746,108,0,Turn-Based RPG,Japan Studio,Sony Computer Entertainment,1999-12-02,"The Legend of Dragoon is a role-playing video game developed and published by Sony Computer Entertainment for the PlayStation. It was released in December 1999 in Japan, June 2000 in North America, and January 2001 in Europe. Set in a high fantasy fictional world called Endiness, the game follows a group of warriors led by the protagonist, Dart, as they attempt to stop the destruction of the world. The player controls a party of three-dimensional (3D) character models through pre-rendered, linear environments. Combat uses a combination of turn-based mechanics and real-time commands. The game includes a quick time event called addition during each attack, requiring the player to press a button when prompted in order to continue inflicting damage.",https://media.retroachievements.org/Images/035804.png,https://media.retroachievements.org/Images/046705.png,https://media.retroachievements.org/Images/029832.png,https://media.retroachievements.org/Images/029833.png,4.5
29,11320,Gran Turismo,PlayStation,12,6583,6583,6583,68,0,Racing Simulation,Polyphony Digital,Sony Computer Entertainment,1997-12-23,"Gran Turismo (GT) is a series of sim racing video games developed by Polyphony Digital. Released for PlayStation systems, Gran Turismo games are intended to emulate the appearance and performance of a large selection of vehicles, most of which are licensed reproductions of real-world automobiles. Since the franchise's debut in 1997, over 100 million units have been sold worldwide, making it the highest selling video game franchise under the PlayStation brand.",https://media.retroachievements.org/Images/101538.png,https://media.retroachievements.org/Images/029894.png,https://media.retroachievements.org/Images/029895.png,https://media.retroachievements.org/Images/029896.png,4.5
30,11404,Harry Potter and the Sorcerer's Stone,PlayStation,12,6542,6542,6542,61,0,Action-Adventure,Argonaut Games,Electronic Arts,2001-11-16,"Harry Potter and the Philosopher's Stone is a fantasy novel by British author J. K. Rowling. It is the first novel in the Harry Potter series and was Rowling's debut novel. It follows Harry Potter, a young wizard who discovers his magical heritage on his eleventh birthday when he receives a letter of acceptance from Hogwarts School of Witchcraft and Wizardry. With the help of his friends, Ron Weasley and Hermione Granger, Harry unravels a mystery involving the dark wizard Lord Voldemort.",https://media.retroachievements.org/Images/080437.png,https://media.retroachievements.org/Images/040400.png,https://media.retroachievements.org/Images/076012.png,https://media.retroachievements.org/Images/076009.png,4.5
31,11344,Diablo,PlayStation,12,6405,6405,6405,80,0,"CRPG, Roguelike",Blizzard Entertainment,Electronic Arts,1998-03-30,"This is a list of video games considered controversial. The list includes games that have earned controversies for violence, sexual content, racism, and review bombing from fans. Some of the video games on this list have been banned or regionally censored.",https://media.retroachievements.org/Images/049224.png,https://media.retroachievements.org/Images/026789.png,https://media.retroachievements.org/Images/026788.png,https://media.retroachievements.org/Images/030073.png,4.5
32,11327,Digimon World,PlayStation,12,6397,6397,6397,219,0,Turn-Based RPG,"BEC, Flying Tiger Development",Bandai,1999-01-28,"Digimon World  is a role-playing video game developed by BEC and published by Bandai for the PlayStation. It's the first game in the Digimon World series, followed by various sequels released for the PlayStation and other platforms. The story focuses on a human brought to File City on File Island by Jijimon to save the island. Digimon have been losing their memories and becoming feral and the city has fallen into disarray. The goal of the player, who is represented by an unnamed young boy, is to save the island by helping Digimon recover their memory and return to the city.",https://media.retroachievements.org/Images/103674.png,https://media.retroachievements.org/Images/070317.png,https://media.retroachievements.org/Images/077303.png,https://media.retroachievements.org/Images/077302.png,4.5
33,11319,Spider-Man,PlayStation,12,6289,6289,6289,60,0,"3D Platforming, Beat 'em Up",Neversoft,Activision,2000-08-30,"Spider-Man is a superhero in American comic books published by Marvel Comics. Created by writer-editor Stan Lee and artist Steve Ditko, he first appeared in the anthology comic book Amazing Fantasy #15 in the Silver Age of Comic Books. Widely regarded as one of the most popular and commercially successful superheroes, he has been featured in comic books, television shows, films, video games, novels, and plays.",https://media.retroachievements.org/Images/101496.png,https://media.retroachievements.org/Images/045566.png,https://media.retroachievements.org/Images/036055.png,https://media.retroachievements.org/Images/036056.png,4.5
34,11276,Tomba!,PlayStation,12,6237,6237,6237,53,0,"2.5D Platforming, Metroidvania",Whoopee Camp,Sony Computer Entertainment,1997-12-25,Tomba! is a 1997 action-adventure platform video game developed and published by Whoopee Camp for the PlayStation. It was released in Japan in 1997 and internationally by Sony Computer Entertainment the following year. The game centers on the eponymous feral child as he attempts to recover his grandfather's bracelet from an evil race of anthropomorphic pigs.,https://media.retroachievements.org/Images/120712.png,https://media.retroachievements.org/Images/120713.png,https://media.retroachievements.org/Images/026481.png,https://media.retroachievements.org/Images/026537.png,4.5
35,11359,Metal Slug X,PlayStation,12,6167,6167,6167,58,0,Run & Gun,Hamster,"Agetec, SNK",2001-01-25,"This is a list of games for the Sony PlayStation video game system, organized alphabetically by name. There are often different names for the same game in different regions. The final licensed PlayStation game released in Japan was Black/Matrix 00 on May 13, 2004; counting re-releases, the final licensed game released in Japan was Strider Hiryū on October 24, 2006. The final licensed game released in North America was FIFA Football 2005 on October 12, 2004, and the final licensed game released in Europe was either Schnappi das kleine Krokodil – 3 Fun-Games on July 18, 2005, or Moorhuhn X on July 20, 2005. Additionally, homebrew games were created using the Sony PlayStation Net Yaroze. Games were being reprinted as late as 2008 with Metal Gear Solid in Metal Gear Solid: The Essential Collection.",https://media.retroachievements.org/Images/034709.png,https://media.retroachievements.org/Images/069382.png,https://media.retroachievements.org/Images/040981.png,https://media.retroachievements.org/Images/032833.png,4.5
36,11331,Tony Hawk's Pro Skater,PlayStation,12,6077,6077,6077,85,0,Extreme Sports - Skateboarding,Neversoft,Activision,1999-09-29,"Tony Hawk's Pro Skater, released as Tony Hawk's Skateboarding in the United Kingdom, Australia, New Zealand, and parts of Europe, is a 1999 skateboarding video game developed by Neversoft and published by Activision. It is the first installment in the Tony Hawk's series. It was released for the PlayStation on September 29, 1999 and was later ported to the Nintendo 64, Game Boy Color, Dreamcast, and N-Gage.",https://media.retroachievements.org/Images/033510.png,https://media.retroachievements.org/Images/031280.png,https://media.retroachievements.org/Images/031277.png,https://media.retroachievements.org/Images/031278.png,4.5
37,11316,Tekken 2,PlayStation,12,5911,5911,5911,93,0,3D Fighting,Namco,Namco,1996-03-29,"Tekken Tag Tournament 2 is a 2011 fighting game, the eighth installment in the Tekken fighting game series and the sequel to Tekken Tag Tournament. It was released for the arcades in September 2011. It received an update, subtitled Unlimited, in March 2012. A console version based on the update was released for PlayStation 3 and Xbox 360 in September 2012. It was ported to the Wii U as one of the system's launch titles in November 2012, subtitled Wii U Edition.",https://media.retroachievements.org/Images/086820.png,https://media.retroachievements.org/Images/057399.png,https://media.retroachievements.org/Images/029790.png,https://media.retroachievements.org/Images/085034.png,4.4
38,11296,Dino Crisis 2,PlayStation,12,5897,5897,5897,52,0,Action-Adventure,Capcom,Capcom,2000-09-13,"Dino Crisis 2 is a 2000 action-adventure game developed by Capcom Production Studio 4 and published by Capcom for the PlayStation. It is the second installment in the Dino Crisis series, with designer Takumi Shu taking over as game-director from Mikami Shinji from the first game. The narrative continues the story of special operative Regina, who must deal with the fallout of a time-distorting event which transports a research-base and the surrounding area through time. Regina and team-leader Dylan Morton must battle against dinosaurs in order to find a way to get back to the present.",https://media.retroachievements.org/Images/054357.png,https://media.retroachievements.org/Images/046550.png,https://media.retroachievements.org/Images/027000.png,https://media.retroachievements.org/Images/026999.png,4.4
39,11401,Tekken,PlayStation,12,5789,5789,5789,43,0,3D Fighting,Namco,Namco,1995-03-31,Tekken  is a Japanese media franchise centred on a series of fighting games developed and published by Bandai Namco Entertainment. The franchise also includes film and print adaptations.,https://media.retroachievements.org/Images/086819.png,https://media.retroachievements.org/Images/046924.png,https://media.retroachievements.org/Images/028583.png,https://media.retroachievements.org/Images/085033.png,4.4
40,11354,Mortal Kombat Trilogy,PlayStation,12,5767,5767,5767,129,0,2D Fighting,Midway,Midway,1996-10-11,Jade is a fictional character in the Mortal Kombat fighting game franchise by Midway Games and NetherRealm Studios. She debuted in Mortal Kombat II (1993) as a hidden opponent and first became playable in Ultimate Mortal Kombat 3 (1995). Her primary weapon is a steel bō staff.,https://media.retroachievements.org/Images/030382.png,https://media.retroachievements.org/Images/030384.png,https://media.retroachievements.org/Images/030387.png,https://media.retroachievements.org/Images/030390.png,4.4
41,11411,Fighting Force,PlayStation,12,2944,2944,2944,65,0,Beat 'em Up,Core Design,Eidos Interactive,1997-11-05,"Fighting Force is a beat 'em up video game developed by Core Design and published in 1997 by Eidos Interactive for PlayStation and Windows. A Nintendo 64 version was published by Crave Entertainment in 1999. The Japanese version for the PlayStation was published by Electronic Arts Victor. Announced by Core shortly after the success of Tomb Raider, Fighting Force was highly anticipated but met with mixed reviews. It was followed by Fighting Force 2.",https://media.retroachievements.org/Images/046228.png,https://media.retroachievements.org/Images/046229.png,https://media.retroachievements.org/Images/046226.png,https://media.retroachievements.org/Images/046227.png,4
