console,gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
Game Boy Advance,767,Golden Sun,1cdd7f33c9a27061201e1d1ce029a700,"Golden Sun (USA, Europe).gba",nointro,,usa,"Golden Sun (USA, Europe).zip",7174195
Game Boy Advance,526,Crash Bandicoot: The Huge Adventure,32d74527bfe723470c2c5406c325fb59,Crash Bandicoot - The Huge Adventure (USA).gba,nointro,,usa,Crash_Bandicoot__The_Huge_Adventure.zip,4452331
Game Boy Advance,782,Mega Man Zero,b24a17d080a01a404cbf018ba42b9803,"Mega Man Zero (USA, Europe).gba",nointro,,usa,"Mega Man Zero (USA, Europe).zip",3674897
Game Boy Advance,677,Mother 3,af8b0b175f7ec8914cb87b3161ba1aaa,Mother 3 (Japan).gba,nointro,,japan,Mother 3 (Japan).zip,15449059
Game Boy Advance,5068,Alien Hominid,18ef4ec828a4bf14b6fd241230bb349a,"Alien Hominid (Europe) (En,Fr,De,Es,It).gba",nointro,,europe,"Alien Hominid (Europe) (En,Fr,De,Es,It).zip",2553542
Game Boy Advance,750,Donkey Kong Country,b3806462180cda73d1f8f48d72236394,Donkey Kong Country (USA).gba,nointro,,usa,Donkey_Kong_Country.zip,5642914
Game Boy Advance,2816,Pokémon Mystery Dungeon: Red Rescue Team,2100cf6f17e12cd34f1513647dfa506b,"Pokemon Mystery Dungeon - Red Rescue Team (USA, Australia).gba",nointro,,usa,"Pokemon Mystery Dungeon - Red Rescue Team (USA, Australia).zip",11379442
Game Boy Advance,2445,Mario Pinball Land,08c41541eb69a1d652937ed3f88824be,"Mario Pinball Land (USA, Australia).gba",nointro,,usa,"Mario Pinball Land (USA, Australia).zip",5129533
Game Boy Advance,554,Fire Emblem: The Blazing Blade,f1a1b9742fcd467a531dd4314c4e7d19,"Fire Emblem (USA, Australia).gba",nointro,,usa,"Fire Emblem (USA, Australia).zip",11413206
Game Boy Advance,790,Pokémon Ruby Version,3e1b2065b3837c14ffbd03fe205fdfd7,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",nointro,,usa,"Pokemon - Ruby Version (USA, Europe) (Rev 2).zip",4935028
Game Boy Advance,1376,Dragon Ball: Advanced Adventure,cb14df09ea41694532a9327510bb28c1,"Dragon Ball - Advanced Adventure (Europe) (En,Fr,De,Es,It).gba",nointro,,europe,"Dragon Ball - Advanced Adventure (Europe) (En,Fr,De,Es,It).zip",5650859
Game Boy Advance,557,Sonic Advance 2,3fb865c5f142a8fc1f82105bfc6b8935,"Sonic Advance 2 (USA) (En,Ja,Fr,De,Es,It).gba",nointro,,usa,"Sonic Advance 2 (USA) (En,Ja,Fr,De,Es,It).zip",4525307
Game Boy Advance,505,Super Mario Advance,ff6b0c48065389b888c7a78731d4b58d,"Super Mario Advance (USA, Europe).gba",nointro,,usa,"Super Mario Advance (USA, Europe).zip",2158269
Game Boy Advance,762,Final Fantasy I & II: Dawn of Souls,5d29999685413c4d2bec10d3160f6ee6,Final Fantasy I & II - Dawn of Souls (USA).gba,nointro,,usa,Final Fantasy I & II - Dawn of Souls (USA).zip,10526808
Game Boy Advance,794,Sonic Advance 3,e0533faf6aa36e3111669574f1c5df92,"Sonic Advance 3 (USA) (En,Ja,Fr,De,Es,It).gba",nointro,,usa,"Sonic Advance 3 (USA) (En,Ja,Fr,De,Es,It).zip",4417747
Game Boy Advance,758,Dragon Ball Z: The Legacy of Goku,3100fc5a4427a7b0cc20b861134e60f2,Dragon Ball Z - The Legacy of Goku (USA).gba,nointro,,usa,Dragon_Ball_Z__The_Legacy_of_Goku.zip,4695890
Game Boy Advance,791,Pokémon Sapphire Version,9bc2b765ca6997175fac51e6cdc29089,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",nointro,,usa,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).zip",4935398
Game Boy Advance,519,Final Fantasy Tactics Advance,6ea5fc0e4b56a232ac3cbdab4b4a6bcd,"Final Fantasy Tactics Advance (Europe) (En,Fr,De,Es,It).gba",nointro,,europe,"Final Fantasy Tactics Advance (USA, Australia).zip",7308220
Game Boy Advance,5081,Aladdin,4bda2a3e0249dfd09330dabc3aa20978,"Aladdin (USA) (En,Fr,De,Es).gba",nointro,,usa,Aladdin_GBA.zip,2418087
Game Boy Advance,4033,Rhythm Tengoku,5b2d4704ce570d89ae956025bd1036db,Rhythm Tengoku (Japan) (Rev 1).gba,nointro,,japan,Rhythm_Tengoku.zip,7990379
Game Boy Advance,2171,Mario Tennis: Power Tour,928c0bd4cf82b3fd6f34b53d4fd02e69,"Mario Tennis - Power Tour (USA, Australia) (En,Fr,De,Es,It).gba",nointro,,usa,"Mario Tennis - Power Tour (USA, Australia) (En,Fr,De,Es,It).zip",12055434
Game Boy Advance,528,Doom,a4078f38dbb47ab22a9c74b725f3e481,"Doom (USA, Europe).gba",nointro,,usa,DOOM.zip,3148694
Game Boy Advance,514,Metal Slug Advance,6838eb5df807a0f3299ad76066d59d26,Metal Slug Advance (USA).gba,nointro,,usa,Metal Slug Advance (USA).zip,3854567
Game Boy Advance,2188,Sonic Battle,100579ef01225c620560f88e65ca423a,"Sonic Battle (USA) (En,Ja,Fr,De,Es,It).gba",nointro,,usa,"Sonic Battle (USA) (En,Ja,Fr,De,Es,It).zip",5798570
Game Boy Advance,5077,Gunstar Super Heroes,a5b75829debc9262b08076a94c8473eb,Gunstar Super Heroes (USA).gba,nointro,,usa,Gunstar Super Heroes (USA).zip,5180983
Game Boy Advance,759,Dragon Ball Z: The Legacy of Goku II,4e1565aa1f0627c2bf5e51019440cb70,Dragon Ball Z - The Legacy of Goku II (USA).gba,nointro,,usa,Dragon Ball Z - The Legacy of Goku II (USA).zip,6527544
Game Boy Advance,3706,Final Fight One,c6af74aeeabfd6d7ee2875e355f49af2,Final Fight One (USA).gba,nointro,,usa,Final Fight One (USA).zip,2459701
Game Boy Advance,760,Drill Dozer,14dab12e795098988d46b96885170538,Drill Dozer (USA).gba,nointro,,usa,Drill Dozer (USA).zip,3045746
Game Boy Advance,4206,Sword of Mana,c7e5d28e7c430454aeff766961095561,"Sword of Mana (USA, Australia).gba",nointro,,usa,"Sword of Mana (USA, Australia).zip",8551331
Game Boy Advance,2588,Summon Night: Swordcraft Story,abfa372f860d0f10037bf28cc78de409,Summon Night - Swordcraft Story (USA).gba,nointro,,usa,Summon Night - Swordcraft Story (USA).zip,5326324
Game Boy Advance,533,Mario Kart: Super Circuit,784a036ff1aae709e90167186639b75e,Mario Kart - Super Circuit (USA).gba,nointro,,usa,Mario Kart - Super Circuit (USA).zip,2168997
Game Boy Advance,1416,Grand Theft Auto Advance,2c8ef9cce9f46b55247468ea449aeade,Grand Theft Auto (USA).gba,nointro,,usa,Grand_Theft_Auto_Advance.zip,5928202
Game Boy Advance,5255,Sonic Pinball Party,de40b1738a7c670ca28ddf44bb908df6,"Sonic Pinball Party (USA) (En,Ja,Fr,De,Es,It).gba",nointro,,usa,"Sonic Pinball Party (USA) (En,Ja,Fr,De,Es,It).zip",3636426
Game Boy Advance,5234,Super Mario Advance 3: Yoshi's Island,bb09508c782f37934c9519c5f8a7350c,Super Mario Advance 3 - Yoshi's Island (USA).gba,nointro,,usa,Super Mario Advance 3 - Yoshi's Island (USA).zip,2597514
Game Boy Advance,787,Naruto: Ninja Council,dffc7306234751e18b163fbf3e925f1b,Naruto - Ninja Council (USA).gba,nointro,,usa,Naruto - Ninja Council (USA).zip,2355388
Game Boy Advance,764,Final Fantasy V: Advance,9ed82843cc54876362be56faccb15d75,Final Fantasy V Advance (USA).gba,nointro,,usa,Final Fantasy V Advance (USA).zip,5065262
Game Boy Advance,5004,Yu-Gi-Oh! The Eternal Duelist Soul,ec3f000ffde5754cb164a05d2d6f9053,Yu-Gi-Oh! - The Eternal Duelist Soul (USA).gba,nointro,,usa,Yu-Gi-Oh! - The Eternal Duelist Soul (USA).zip,5282793
Game Boy Advance,16209,~Homebrew~ Celeste Classic,9bcd687293600451abdd0f181b2427e8,Celeste Classic (World) (v1.2) (Aftermarket) (Unl).gba,nointro|github,,world,Celeste.Classic.v1.2.Homebrew.zip,891998
Game Boy Advance,5719,LEGO Star Wars: The Video Game,caa2d80d5c14a76d1f482f7589281c22,"LEGO Star Wars - The Video Game (USA, Europe) (En,Fr,De,Es,It,Nl,Da).gba",nointro,,usa,"LEGO Star Wars - The Video Game (USA, Europe) (En,Fr,De,Es,It,Nl,Da).zip",12873358
Game Boy Advance,5127,Crash Nitro Kart,9e6ff628db81caa74dca356eaadadac9,Crash Nitro Kart (USA).gba,nointro,,usa,Crash Nitro Kart (USA).zip,4119735
Game Boy Advance,2482,Fire Emblem: The Sacred Stones,8f0dad780f01ce002331693f4733f27e,"Fire Emblem - The Sacred Stones (Europe) (En,Fr,De,Es,It).gba",nointro,,europe,"Fire Emblem - The Sacred Stones (USA, Australia).zip",13816469
Game Boy Advance,748,Classic NES Series: The Legend of Zelda,588203bd9de678a55a9f1707931302f2,"Classic NES Series - The Legend of Zelda (USA, Europe).gba",nointro|deprecated,,usa,The_Legend_of_Zelda.zip,4151779
Game Boy Advance,27584,~Homebrew~ Goodboy Galaxy,4cbe14d525a54f745523a6fb45f81aef,"Goodboy Galaxy (World) (En,Ja,Fr,De,Es,Pt-BR,Zh,Ar) (v1.2) (itch.io).gba",nointro|homebrew|itchio,,world,Goodboy Galaxy (USA).zip,9935820
Game Boy Advance,754,Dragon Ball Z: Buu's Fury,3a74fce97f1ea2b28c2a50ec3df0acee,Dragon Ball Z - Buu's Fury (USA).gba,nointro,,usa,Dragon_Ball_Z__Buu’s_Fury.zip,6139671
Game Boy Advance,9848,Action Man: Robot Atak,d4fecd09b810dba8a76c5766e713e49f,"Action Man - Robot Atak (Europe) (En,Fr,De,Es,It).gba",nointro,,europe,"Action Man - Robot Atak (Europe) (En,Fr,De,Es,It).zip",2986642
Game Boy Advance,801,WarioWare: Twisted!,89579f4dfe1ed24a7cd16a6a61a72a17,"WarioWare - Twisted! (USA, Australia).gba",nointro,,usa,WarioWare - Twisted! (USA).zip,10173158
Game Boy Advance,9957,The Pinball of the Dead,627b22d7e3c4dbce8191c7765c58e17a,"Pinball of the Dead, The (USA).gba",nointro,,usa,"Pinball of the Dead, The (USA).zip",4224699
Game Boy Advance,4106,Rayman Advance,616f80f482ade86d88021b41587aa600,"Rayman Advance (USA) (En,Fr,De,Es,It).gba",nointro,,usa,"Rayman Advance (USA) (En,Fr,De,Es,It).zip",3706792
Game Boy Advance,2138,Double Dragon Advance,9f738e440d5a6ebbe5e5dcf8b727bbb3,Double Dragon Advance (USA).gba,nointro,,usa,Double Dragon Advance (USA).zip,1864757
Game Boy Advance,529,Mario vs. Donkey Kong,a3dca1a3167cb855aacdca650c4ce39f,"Mario vs. Donkey Kong (Europe) (En,Fr,De,Es,It).gba",nointro,,europe,"Mario vs. Donkey Kong (Europe) (En,Fr,De,Es,It).zip",6841679
Game Boy Advance,6946,Bookworm,c64b677831500e85222d85c70e2d23b6,Bookworm (USA).gba,nointro,,usa,Bookworm (USA).zip,1850456
Game Boy Advance,5117,Yu-Gi-Oh! The Sacred Cards,0a7c58069d5390165482e88a22158bd2,Yu-Gi-Oh! - The Sacred Cards (USA).gba,nointro,,usa,Yu-Gi-Oh!_–_The_Sacred_Cards.zip,9918211
Game Boy Advance,752,Donkey Kong Country 3,f577a97d679e669f8063910eb060e864,Donkey Kong Country 3 (USA).gba,nointro,,usa,DONKEY_KONG_COUNTRY_3.zip,11805789
Game Boy Advance,4970,Dr. Mario & Puzzle League,279297081bab92bdc469f3b9127ab4fc,2 Games in One! - Dr. Mario + Puzzle League (USA).gba,nointro,,usa,"2 Games in One! - Dr. Mario + Puzzle League (USA, Australia).zip",2331234
Game Boy Advance,2592,Golden Sun: The Lost Age,8efe8b2aaed97149e897570cd123ff6e,"Golden Sun - The Lost Age (USA, Europe).gba",nointro,,usa,"Golden Sun - The Lost Age (USA, Europe).zip",13085552
Game Boy Advance,3700,Who Wants to Be a Millionaire,204f81fba1f395db9e7966039ef48840,Who Wants to Be a Millionaire (Europe).gba,nointro,,europe,Who Wants to Be a Millionaire (Europe).zip,3048604
Game Boy Advance,12748,~Prototype~ Resident Evil 2,e9385f1a0876c563dc42a0ee9c8700ce,Resident Evil 2 (Unknown) (Proto).gba,nointro,,unknown,Resident Evil 2 (Unknown) (Proto).zip,1587589
Game Boy Advance,784,Mega Man Zero 4,0d1e88bdb09ff68adf9877a121325f9c,Mega Man Zero 4 (USA).gba,nointro,,usa,Mega Man Zero 4 (USA).zip,10270870
Game Boy Advance,548,Naruto: Ninja Council 2,60eca5e9057972a76361158cc7ab31b8,Naruto - Ninja Council 2 (USA).gba,nointro,,usa,Naruto - Ninja Council 2 (USA).zip,3815664
Game Boy Advance,783,Mega Man Zero 2,182363b0698322e1864ced6e9eed7ead,Mega Man Zero 2 (USA).gba,nointro,,usa,Mega Man Zero 2 (USA).zip,4408482
Game Boy Advance,4703,Shining Soul,d9b338efe2c15f9493ca0b28714a679b,Shining Soul (USA).gba,nointro,,usa,Shining_Soul.zip,2968411
Game Boy Advance,5520,Pac-Man Collection,ed4304cc4f5bac34adfaa750316784a8,Pac-Man Collection (USA).gba,nointro,,usa,Pac-Man Collection (USA).zip,2717615
Game Boy Advance,5987,Hamtaro: Ham-Ham Heartbreak,42cca53c94c0bb8e5146631945bf0cd9,Hamtaro - Ham-Ham Heartbreak (USA).gba,nointro,,usa,Hamtaro__Ham_Ham_Heartbreak.zip,4480706
Game Boy Advance,5080,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,2de53bf040953ad79cc8135c37b47aa0,"Tim Burton's The Nightmare Before Christmas - The Pumpkin King (USA, Europe) (En,Fr,De,Es,It).gba",nointro,,usa,"Tim Burton's The Nightmare Before Christmas - The Pumpkin King (USA, Europe) (En,Fr,De,Es,It).zip",4611759
Game Boy Advance,4879,Fire Emblem: Fuuin no Tsurugi,8643fe7632d4895dcaaca230475e70fb,Fire Emblem - Fuuin no Tsurugi (Japan).gba,nointro,,japan,Fire Emblem - Fuuin no Tsurugi (Japan).zip,5732478
Game Boy Advance,532,Mario Golf: Advance Tour,2e8814e664675572a43b01900bbbb16b,Mario Golf - Advance Tour (USA).gba,nointro,,usa,Mario Golf - Advance Tour (USA).zip,12058408
Game Boy Advance,7128,Elf: The Movie,1fe0aa775a55230c0cf8236f4376dbe9,"Elf - The Movie (USA) (En,Fr,De,Es,It).gba",nointro,,usa,"Elf - The Movie (USA) (En,Fr,De,Es,It).zip",1839189
Game Boy Advance,572,Magical Quest 3 Starring Mickey & Donald,47fe0fe1ee054ac37e286fb909e49be0,"Magical Quest 3 Starring Mickey & Donald (USA) (En,Fr,De).gba",nointro,,usa,"Magical Quest 3 Starring Mickey & Donald (USA) (En,Fr,De).zip",2478415
Game Boy Advance,5312,The King of Fighters EX2: Howling Blood,6be741eea41598baeed52e4dd7ddb9f5,"King of Fighters EX 2, The - Howling Blood (USA).gba",nointro,,usa,The_King_of_Fighters_EX2__Howling_Blood.zip,5752469
Game Boy Advance,625,Mega Man Zero 3,aa1d5eeffcd5e4577db9ee6d9b1100f9,Megaman Zero 3 (USA).gba,nointro,,usa,Mega Man Zero 3 (USA).zip,4835953
Game Boy Advance,2412,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,1e52d66f5f8a7c4f207d80ba4fccf55e,"Yu-Gi-Oh! - Worldwide Edition - Stairway to the Destined Duel (USA) (En,Ja,Fr,De,Es,It).gba",nointro,,usa,Yu-Gi-Oh!_Worldwide_Edition__Stairway_to_the_Destined_Duel.zip,6672840
Game Boy Advance,509,Bomberman Tournament,79aef9bbe1378adfbd688cd66e11a7be,"Bomberman Tournament (USA, Europe).gba",nointro,,usa,"Bomberman Tournament (USA, Europe).zip",2483395
Game Boy Advance,4201,Harry Potter and the Sorcerer's Stone,4eaac54bc741daae77975b004376174f,"Harry Potter and the Sorcerer's Stone (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da).gba",nointro,,usa,"Harry Potter and the Sorcerer's Stone (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da).zip",5657393
Game Boy Advance,2543,Konami Krazy Racers,c1d1bb9da3a5566a34a92dac25e6bc04,Konami Krazy Racers (USA).gba,nointro,,usa,Konami Krazy Racers (USA).zip,1758633
Game Boy Advance,4872,Breath of Fire,17a32cfa3d0a5c74f914281ef55c75cd,Breath of Fire (USA).gba,nointro,,usa,Breath_of_Fire.zip,1795873
Game Boy Advance,4853,Harvest Moon: Friends of Mineral Town,80355c831a7a25b0f70dc021ebd344f1,Harvest Moon - Friends of Mineral Town (USA).gba,nointro,,usa,Harvest Moon - Friends of Mineral Town (USA).zip,3534802
Game Boy Advance,6184,The Sims: Bustin' Out,e429ce307fe06dbcd7724552ff0339d7,"Sims, The - Bustin' Out (USA, Europe) (En,Fr,De,Es,It,Nl).gba",nointro,,usa,"Sims, The - Bustin' Out (USA, Europe) (En,Fr,De,Es,It,Nl).zip",10974006
Game Boy Advance,763,Final Fantasy IV: Advance,c74dd5cc3ab6e5d4ac53b1677e1abd69,Final Fantasy IV Advance (USA).gba,nointro,,usa,Final Fantasy IV Advance (USA).zip,4755961
Game Boy Advance,766,Game & Watch Gallery 4,89bd27cd7228736d9c00461abd20c208,Game & Watch Gallery 4 (USA).gba,nointro,,usa,Game & Watch Gallery 4 (USA).zip,2694079
Game Boy Advance,7274,Pac-Man Pinball Advance,4d7b955b9c19b13d1d776e35ce007f78,Pac-Man Pinball Advance (USA).gba,nointro,,usa,Pac-Man Pinball Advance (USA).zip,2265403
Game Boy Advance,4203,Spyro: Season of Ice,76aad0726be3ac24f3c5a7a8e64379d3,Spyro - Season of Ice (USA).gba,nointro,,usa,Spyro - Season of Ice (USA).zip,4075252
Game Boy Advance,4200,Harry Potter and the Prisoner of Azkaban,3fe499f2a6b141ec2959e2d109e3f321,"Harry Potter and the Prisoner of Azkaban (USA, Europe) (En,Fr,De,Es,It,Nl,Da).gba",nointro,,usa,"Harry Potter and the Prisoner of Azkaban (USA, Europe) (En,Fr,De,Es,It,Nl,Da).zip",12854010
Game Boy Advance,5093,Mario Party Advance,9D0D27345BF88DE8B025AA24D54D6BAD,Mario Party Advance (USA).gba,nointro,,usa,Mario Party Advance (USA).zip,6245599
Game Boy Advance,2598,One Piece,ce153a5ce176b608edd035e3b9a27dad,One Piece (USA).gba,nointro,,usa,One Piece (USA).zip,2533392
Game Boy Advance,527,Shaman King: Master of Spirits,1c92edbad07a372ee382d16cf624dc4b,Shaman King - Master of Spirits (USA).gba,nointro,,usa,Shaman King - Master of Spirits (USA).zip,6152734
Game Boy Advance,5030,Digimon Battle Spirit,a4e3e4754c7bd16e5e2a52ee83ab2be1,Digimon - Battle Spirit (USA).gba,nointro,,usa,Digimon_Battle_Spirit.zip,1228783
Game Boy Advance,5057,The Urbz: Sims in the City,0821eea9bf87804ec1d700ec458a04e5,"Urbz, The - Sims in the City (USA, Europe) (En,Fr,De,Es,It,Nl).gba",nointro,,usa,"Urbz, The - Sims in the City (USA, Europe) (En,Fr,De,Es,It,Nl).zip",25282810
Game Boy Advance,2531,Doom II,efefee9082a83fc6e49f87510746eac0,Doom II (USA).gba,nointro,,usa,Doom_II.zip,8799324
Game Boy Advance,2179,Mega Man & Bass,88792ae1fbc74f4a5425d0c6f0482023,Mega Man & Bass (USA).gba,nointro,,usa,Mega Man & Bass (USA).zip,4804355
Game Boy Advance,5114,Yu-Gi-Oh! World Championship Tournament 2004,8517049ce498d84530c953d6a8b3112e,"Yu-Gi-Oh! - World Championship Tournament 2004 (USA) (En,Ja,Fr,De,Es,It).gba",nointro,,usa,"Yu-Gi-Oh! - World Championship Tournament 2004 (USA) (En,Ja,Fr,De,Es,It).zip",8329588
Game Boy Advance,7159,The Polar Express,d325f3b46025ec8df4a3761cb529e7b8,"Polar Express, The (USA, Europe) (En,Fr,De,Es,It).gba",nointro,,usa,"Polar Express, The (USA, Europe) (En,Fr,De,Es,It).zip",2929260
Game Boy Advance,3681,Lady Sia,94b847814fee8e4e5d9fdbf1d3d25107,"Lady Sia (USA) (En,Fr,De,Es,It,Nl).gba",nointro,,usa,"Lady Sia (USA) (En,Fr,De,Es,It,Nl).zip",2786315
Game Boy Advance,503,Tetris Worlds,08aecb6882d9a73b2cac1316a5fbf31b,"Tetris Worlds (Europe) (En,Es,It).gba",nointro,,europe,"Tetris Worlds (Europe) (En,Es,It).zip",1703451
Game Boy Advance,18464,Classic NES Series: Metroid,5d9da9584ee479f0f096963ba713710e,"Classic NES Series - Metroid (USA, Europe).gba",nointro|deprecated,,usa,"Classic NES Series - Metroid (USA, Europe).zip",4074977
Game Boy Advance,3653,Klonoa: Empire of Dreams,31d227735fbc8220de9f1a93da10e199,Klonoa - Empire of Dreams (Europe).gba,nointro,,europe,Klonoa - Empire of Dreams (Europe).zip,2538467
Game Boy Advance,3618,Crash Bandicoot Purple: Ripto's Rampage,24ef180602e0658bbe38fabc5d09894c,Crash Bandicoot Purple - Ripto's Rampage (USA) (Rev 1).gba,nointro,,usa,Crash Bandicoot Purple - Ripto's Rampage (USA) (Rev 1).zip,7779573
Game Boy Advance,6818,Sonic the Hedgehog: Genesis,8105a6012737aac2907b27e4a05ad794,Sonic The Hedgehog - Genesis (USA).gba,nointro,,usa,Sonic the Hedgehog - Genesis (USA).zip,1143512
Game Boy Advance,22659,~Homebrew~ Sips,03a47a034c02e457fb6f8412b81ae56c,Sips (World) (Aftermarket) (Unl).gba,nointro,,world,Sips (World) (GBA WinterJam 2023) (Aftermarket) (Unl).zip,3183879
Game Boy Advance,2595,Mother 1+2,f41e36204356974c94fabf7d144dd32a,Mother 1+2 (Japan).gba,nointro,,japan,Mother 1+2 (Japan).zip,3985584
Game Boy Advance,5501,SpongeBob SquarePants: SuperSponge,c2bfa5c822f33eaed02ad2f94a0414b4,"SpongeBob SquarePants - SuperSponge (USA, Europe).gba",nointro,,usa,"SpongeBob SquarePants - SuperSponge (USA, Europe).zip",2024561
Game Boy Advance,6011,Mr. Driller 2,d7118be078b9a61284a99d3f1f7e972f,Mr. Driller 2 (USA).gba,nointro,,usa,Mr. Driller 2 (USA).zip,2294056
Game Boy Advance,2585,Super Street Fighter II Turbo Revival,7a36a7486ef2c534111ee417b8acf9b7,Super Street Fighter II Turbo - Revival (USA).gba,nointro,,usa,Super Street Fighter II Turbo - Revival (USA).zip,4993012
Game Boy Advance,4690,Iridion 3D,f88df40fedb9d31a6e59dba4a9be1b2a,"Iridion 3D (USA, Europe).gba",nointro,,usa,"Iridion 3D (USA, Europe).zip",2539069
Game Boy Advance,6161,Scurge: Hive,2cd38e2e2d2bbc3eeee2833b8667e962,"Scurge - Hive (USA) (En,Fr,Es).gba",nointro,,usa,"Scurge - Hive (USA) (En,Fr,Es)(1).zip",6073124
Game Boy Advance,5441,Baldur's Gate: Dark Alliance,13fd90ae7070ba25c2ce4223b8f51a1e,Baldur's Gate - Dark Alliance (USA).gba,nointro,,usa,Baldur's Gate - Dark Alliance (USA).zip,5678465
Game Boy Advance,7854,X-Men: Reign of Apocalypse,9457a51730ada0ea9ccdbaab51d93613,"X-Men - Reign of Apocalypse (USA, Europe).gba",nointro,,usa,"X-Men - Reign of Apocalypse (USA, Europe).zip",3797266
Game Boy Advance,2155,TMNT,3dac0a2fb322eebbdad45ecc1ec8a943,"TMNT (USA) (En,Fr,Es).gba",nointro,,usa,"TMNT (USA) (En,Fr,Es).zip",3667544
Game Boy Advance,6663,Star Wars - Episode III: Revenge of the Sith,6c44b49d69e6c0576197742f20250c40,"Star Wars - Episode III - Revenge of the Sith (USA) (En,Fr,Es).gba",nointro,,usa,"Star Wars - Episode III - Revenge of the Sith (USA) (En,Fr,Es).zip",3514602
Game Boy Advance,5179,Sigma Star Saga,29b048b4b36b3fda168850003f2ee844,"Sigma Star Saga (USA, Europe).gba",nointro,,usa,"Sigma Star Saga (USA, Europe).zip",3591031
Game Boy Advance,29837,Who Wants to Be a Millionaire: 2nd Edition,8e2766a5595c4916decf99b300583d16,Who Wants to Be a Millionaire - 2nd Edition (Europe).gba,nointro,,europe,Who Wants to Be a Millionaire - 2nd Edition (Europe).zip,3168339
Game Boy Advance,796,Spyro 2: Season of Flame,8d9fbf8bde7941ca97dcba7757d60e81,Spyro 2 - Season of Flame (USA).gba,nointro,,usa,Spyro 2 - Season of Flame (USA).zip,4588391
Game Boy Advance,5119,Tokyo Xtreme Racer Advance,51664a136b5c9383258e58b384a8d9a8,Tokyo Xtreme Racer Advance (USA).gba,nointro,,usa,Tokyo Xtreme Racer Advance (USA).zip,1423249
Game Boy Advance,2509,River City Ransom EX,0b95fb20b9f487eb64431e9db9f75c7f,River City Ransom EX (USA).gba,nointro,,usa,River City Ransom EX (USA).zip,1373876
