rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
59,16279,"~Homebrew~ Bubble Wrap DS","Nintendo DS",18,745,745,745,7,0,"Simulation","Prodigy Games","Prodigy Games","2012-01-01"
60,4655,"Dragon Quest V: Hand of the Heavenly Bride","Nintendo DS",18,741,741,741,74,0,"Turn-Based RPG","Chunsoft","Square Enix","2008-07-17"
61,9898,"The Legend of Zelda: Spirit Tracks","Nintendo DS",18,731,731,731,70,0,"Action-Adventure","","Nintendo","2009-12-07"
62,17484,"42 All-Time Classics","Nintendo DS",18,692,692,692,64,0,"Card Game","Agenda","Nintendo","2005-11-03"
63,4887,"The World Ends with You","Nintendo DS",18,691,691,691,98,0,"Action RPG","Jupiter","Square Enix","2007-07-26"
64,16622,"Inazuma Eleven","Nintendo DS",18,656,656,656,71,0,"Role-Playing Game","Level-5","Nintendo","2011-01-21"
65,4663,"Final Fantasy III","Nintendo DS",18,654,654,654,162,0,"","Matrix Software, Square Enix","Square Enix","2007-05-04"
66,11644,"Shin Megami Tensei: Strange Journey","Nintendo DS",18,648,648,648,243,0,"Turn-Based RPG","Atlus","Atlus","2009-10-08"
67,6102,"Kirby: Canvas Curse","Nintendo DS",18,624,624,624,56,0,"2D Platforming","HAL Laboratory","Nintendo","2005-03-24"
68,15542,"Metroid Prime Pinball","Nintendo DS",18,619,619,619,88,0,"Pinball","Fuse Games | Silverball Studios","Nintendo","2005-10-24"
69,2642,"Kingdom Hearts: 358/2 Days","Nintendo DS",18,611,611,611,41,0,"Action RPG","h.a.n.d.","Square Enix","2009-05-30"
70,3103,"Phoenix Wright: Ace Attorney - Trials and Tribulations","Nintendo DS",18,607,607,607,75,0,"Visual Novel","Capcom","Capcom","2007-10-23"
71,16364,"Game & Watch Collection 2","Nintendo DS",18,605,605,605,12,0,"Compilation","Nintendo","Nintendo","2008-12-15"
72,14813,"Mario & Sonic at the Olympic Winter Games","Nintendo DS",18,591,591,591,239,0,"","","","2009-10-13"
73,16236,"The Sims 2","Nintendo DS",18,576,576,576,57,0,"Life Simulation","Amaze Entertainment, Maxis","Electronic Arts","2005-10-24"
74,9546,"Diddy Kong Racing DS","Nintendo DS",18,559,559,559,166,0,"Kart Racing, Collect-a-thon","Rare","Nintendo","2007-02-05"
75,18664,"Big Brain Academy","Nintendo DS",18,555,555,555,96,0,"Educational","","Nintendo","2005-06-30"
76,15981,"LEGO Rock Band","Nintendo DS",18,554,554,554,92,0,"Rhythm","Backbone Entertainment","Warner Bros. Interactive Entertainment","2009-11-03"
77,17633,"Peggle: Dual Shot","Nintendo DS",18,539,539,539,49,0,"Action, Pachinko","Q Entertainment, PopCap Games","PopCap Games","2009-03-03"
78,9954,"Grand Theft Auto: Chinatown Wars","Nintendo DS",18,507,507,507,150,0,"Action-Adventure, Sandbox","Rockstar Leeds","Rockstar Games","2009-03-17"
79,8572,"Fire Emblem: Shadow Dragon","Nintendo DS",18,489,489,489,93,0,"Tactical RPG","Intelligent Systems","Nintendo","2009-02-16"
80,9424,"Radiant Historia","Nintendo DS",18,482,482,482,120,0,"Turn-Based RPG","Atlus, Headlock","Atlus","2010-11-03"
81,12704,"Rune Factory: A Fantasy Harvest Moon","Nintendo DS",18,479,479,479,140,0,"Life Simulation","Neverland","Marvelous Interactive, Natsume","2006-08-24"
82,14812,"Mario & Sonic at the Olympic Games","Nintendo DS",18,472,472,472,100,0,"Sports","Sega","Sega, Nintendo","2008-01-17"
83,12917,"Contra 4","Nintendo DS",18,470,470,470,45,0,"Run & Gun","WayForward","Konami","2007-11-13"
84,17140,"Rock Band 3","Nintendo DS",18,455,455,455,122,0,"Rhythm","Backbone Entertainment","MTV Games","2010-10-26"
85,9404,"Solatorobo: Red the Hunter","Nintendo DS",18,450,450,450,133,0,"Action RPG","CyberConnect2 | CyberConnect","XSEED Games","2011-09-27"
86,16621,"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!","Nintendo DS",18,446,446,446,57,0,"2D Platforming, Metroidvania","WayForward","Bandai Namco, D3 Publisher","2012-11-20"
