rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
86,11942,"X-Men vs. Street Fighter","Arcade",27,1259,1259,1259,55,0,"2D Fighting","Capcom","Capcom","1996-09-01"
87,11858,"Bang Bead","Arcade",27,1241,1241,1241,17,0,"Sports - Ball & Paddle","Visco","Visco","2000-01-01"
88,4845,"Pretty Soldier Sailor Moon","Arcade",27,1220,1220,1220,30,0,"Beat 'em Up","Gazelle","Banpresto","1995-03-22"
89,15000,"Batman","Arcade",27,1215,1215,1215,19,0,"Beat 'em Up","Atari","Atari","1991-04-01"
90,12033,"The King of Fighters 2000","Arcade",27,1214,1214,1214,90,0,"2D Fighting","SNK","SNK","2000-07-01"
91,12030,"The King of Fighters '96","Arcade",27,1208,1208,1208,96,0,"2D Fighting","SNK","SNK","1996-07-01"
92,12082,"Double Dragon","Arcade",27,1202,1202,1202,16,0,"Beat 'em Up","Technos Japan","Taito","1987-01-01"
93,12149,"Ghosts 'n Goblins","Arcade",27,1198,1198,1198,42,0,"","Capcom","Capcom","1985-09-01"
94,12661,"Double Dragon (Neo-Geo)","Arcade",27,1195,1195,1195,38,0,"2D Fighting","Technōs Japan","Technōs Japan","1995-02-01"
95,13566,"Pachinko Sexy Reaction","Arcade",27,1187,1187,1187,15,0,"Casino, Pachinko","Sammy","Sammy","1998-01-01"
96,11979,"U.N. Squadron","Arcade",27,1173,1173,1173,52,0,"Shoot 'em Up","Capcom","Capcom","1989-08-01"
97,17469,"SegaSonic the Hedgehog","Arcade",27,1170,1170,1170,40,0,"2.5D Platforming","","Sega","1993-06-01"
98,13250,"Night Slashers","Arcade",27,1158,1158,1158,32,0,"Beat 'em Up","Data East","Data East","1993-09-01"
99,13815,"Super Sidekicks 3: The Next Glory","Arcade",27,1158,1158,1158,21,0,"","SNK","SNK","1995-03-01"
100,11760,"Zed Blade","Arcade",27,1149,1149,1149,43,0,"Shoot 'em Up","NMK","NMK","1994-09-01"
101,12526,"Space Invaders","Arcade",27,1125,1125,1125,22,0,"Shoot 'em Up","","LAI Games, Midway, Taito","1978-04-19"
102,12816,"Goal! Goal! Goal!","Arcade",27,1120,1120,1120,50,0,"Sports - Football | Soccer","Visco","Visco","1995-01-01"
103,12028,"The King of Fighters '94","Arcade",27,1109,1109,1109,49,0,"","SNK","SNK","1994-08-01"
104,12165,"GunForce II","Arcade",27,1108,1108,1108,28,0,"Run & Gun","Irem","Irem","1994-09-01"
105,21889,"Deathsmiles","Arcade",27,1107,1107,1107,48,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","AMI","2007-10-19"
106,12163,"Gunbird","Arcade",27,1107,1107,1107,19,0,"Shoot 'em Up","Psikyo","Psikyo, Jaleco","1993-03-22"
107,11805,"Street Fighter Alpha: Warriors' Dreams","Arcade",27,1107,1107,1107,44,0,"2D Fighting","Capcom","Capcom","1995-01-01"
108,12538,"Magical Drop III","Arcade",27,1089,1089,1089,54,0,"Tile Matching","Data East","Data East","1997-02-25"
109,17540,"Battletoads","Arcade",27,1077,1077,1077,55,0,"Beat 'em Up, Action","Rare","Electronic Arts","1994-01-01"
110,12514,"Toki","Arcade",27,1070,1070,1070,24,0,"2D Platforming","TAD","TAD","1989-01-01"
111,16492,"Blood Bros.","Arcade",27,1069,1069,1069,32,0,"Gallery Shooter","TAD","TAD","1990-01-01"
112,11751,"Blazing Star","Arcade",27,1061,1061,1061,50,0,"Shoot 'em Up","Yumekobo","SNK","1998-01-01"
113,12230,"Super Gem Fighter: Mini Mix","Arcade",27,1052,1052,1052,50,0,"2D Fighting","Capcom","Capcom","1997-09-01"
