rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
113,686,"Bugs Bunny: Crazy Castle 3","Game Boy Color",6,256,256,256,16,0,"","Kemco","Nintendo","1999-01-29"
114,12951,"Nicktoons Racing","Game Boy Color",6,256,256,256,29,0,"Kart Racing","Pipe Dream Interactive","Hasbro Interactive","2000-12-07"
115,6167,"Pop'n Music GB","Game Boy Color",6,256,256,256,123,0,"Rhythm","Konami","Konami","2000-03-30"
116,3650,"Mr. Nutz","Game Boy Color",6,253,253,253,13,0,"2D Platforming","Planet Interactive","Infogrames","1999-11-01"
117,6531,"The Flintstones: Burgertime in Bedrock","Game Boy Color",6,250,250,250,27,0,"","Conspiracy Entertainment","Swing! Entertainment, Classified Games","2000-12-01"
118,31934,"~Homebrew~ Combo Fishing","Game Boy Color",6,248,248,248,26,0,"Sports - Fishing","WilbosWorld","WilbosWorld","2024-11-01"
119,4731,"Magi Nation","Game Boy Color",6,246,246,246,66,0,"","Interactive Imagination","Interactive Imagination","2001-01-01"
120,3625,"M&M's Minis Madness","Game Boy Color",6,243,243,243,12,0,"2D Platforming","Pipe Dream Interactive","Majesco Entertainment","2000-12-08"
121,2500,"Oddworld Adventures II","Game Boy Color",6,243,243,243,55,0,"Cinematic Platforming","Saffire","Atari","2000-01-19"
122,14166,"LEGO Island 2: The Brickster's Revenge","Game Boy Color",6,239,239,239,13,0,"Action-Adventure","Crawfish Interactive","LEGO Interactive | LEGO Media","2001-03-30"
123,4919,"Quest: Brian's Journey","Game Boy Color",6,239,239,239,24,0,"Turn-Based RPG","Atelier Double","Sunsoft, Imagineer","2000-01-15"
124,18594,"Dancing Furby","Game Boy Color",6,238,238,238,25,0,"Rhythm","TOSE","Tomy","1999-12-24"
125,14356,"Tony Hawk's Pro Skater","Game Boy Color",6,234,234,234,12,0,"Extreme Sports - Skateboarding","Natsume","Activision","2000-01-01"
126,25072,"~Hack~ Pokémon TCG Neo","Game Boy Color",6,232,232,232,23,0,"Collectible Card Game","Cataclyptic","","2023-01-15"
127,16089,"Medarot 3: Kabuto Version","Game Boy Color",6,232,232,232,149,0,"","","Imagineer","2000-07-23"
128,20036,"~Homebrew~ Postie","Game Boy Color",6,229,229,229,6,0,"2D Platforming","invertedHat","invertedHat","2022-05-29"
129,6181,"Dance Dance Revolution GB: Disney Mix","Game Boy Color",6,226,226,226,61,0,"Rhythm","Now Production","Konami","2001-03-29"
130,30935,"~Homebrew~ Noble Blood","Game Boy Color",6,225,225,225,8,0,"","Conan","Conan","2023-10-24"
131,12842,"Dance Dance Revolution GB2","Game Boy Color",6,225,225,225,71,0,"Rhythm","Now Production","Konami","2000-11-16"
132,28238,"~Homebrew~ The Mist","Game Boy Color",6,223,223,223,12,0,"","Yliader","itch.io","2022-04-13"
133,13082,"Moorhen 3: ... The Chicken Chase!","Game Boy Color",6,221,221,221,16,0,"Gallery Shooter","Sproing, Similis","Ubisoft","2002-07-11"
134,6171,"Beatmania GB2: GotchaMix","Game Boy Color",6,217,217,217,95,0,"Rhythm","Konami","Konami","1999-11-01"
135,4246,"Qix Adventure","Game Boy Color",6,214,214,214,42,0,"Action-Puzzle","Coconuts Japan Entertainment","Taito","1999-10-22"
136,11582,"Dance Dance Revolution GB3","Game Boy Color",6,212,212,212,81,0,"Rhythm","Now Production","Konami","2001-03-15"
137,3637,"Samurai Kid","Game Boy Color",6,212,212,212,58,0,"","Biox","Koei | Tecmo","2001-02-02"
138,24117,"~Homebrew~ TUNIC","Game Boy Color",6,210,210,210,10,0,"Action-Adventure","MintFerret","itch.io","2023-01-20"
139,8228,"~Unlicensed~ Zook Hero Z","Game Boy Color",6,209,209,209,41,0,"2D Platforming","Vast Fame","Li Cheng","1999-01-01"
140,4097,"Alice in Wonderland","Game Boy Color",6,209,209,209,45,0,"2D Platforming","Digital Eclipse","Disney Interactive Studios","2000-10-04"
141,25233,"Space Invaders","Game Boy Color",6,207,207,207,24,0,"Shoot 'em Up","Crawfish Interactive","Activision","1999-10-27"
142,4190,"Driver: You Are The Wheelman","Game Boy Color",6,204,204,204,41,0,"Action, Arcade Racing","Crawfish Interactive","Infogrames","2000-05-16"
143,25708,"~Homebrew~ Feed IT Souls","Game Boy Color",6,202,202,202,20,0,"2D Platforming","Gumpy Function","itch.io","2023-09-11"
144,11206,"Barbie: Pet Rescue","Game Boy Color",6,202,202,202,22,0,"","HotGen Studios","","2001-09-01"
145,13091,"Ballistic","Game Boy Color",6,198,198,198,15,0,"","Mitchell","Infogrames","1999-01-01"
146,6169,"Pop 'n Music GB: Animation Melody","Game Boy Color",6,198,198,198,96,0,"Rhythm","Konami","Konami","2000-07-09"
147,7708,"Legend of the River King 2","Game Boy Color",6,197,197,197,76,0,"Sports - Fishing","Marvelous Interactive","Natsume","2001-04-17"
148,7304,"Magical Tetris Challenge","Game Boy Color",6,195,195,195,18,0,"","Capcom","Capcom","1999-11-12"
149,6337,"Robopon: Sun Version","Game Boy Color",6,193,193,193,22,0,"Turn-Based RPG","Hudson Soft, Red","Hudson Soft, Atlus","1998-12-04"
150,22353,"~Homebrew~ Hime's Quest","Game Boy Color",6,192,192,192,35,0,"Action-Adventure","Poppy Works","Crunchyroll | Limited Run Games","2023-01-25"
151,4058,"Looney Tunes: Twouble!","Game Boy Color",6,192,192,192,26,0,"2.5D Platforming, Puzzle","Bit Managers","Infogrames","1998-12-01"
152,30882,"~Homebrew~ Little Dungeon Renovator","Game Boy Color",6,190,190,190,10,0,"","MashinN","MashinN","2023-09-14"
153,17975,"Das Geheimnis der Happy Hippo-Insel","Game Boy Color",6,190,190,190,12,0,"2D Platforming","KRITZELKRATZ 3000","Infogrames","2001-05-17"
154,7450,"Return of the Ninja","Game Boy Color",6,189,189,189,15,0,"2D Platforming","Natsume","Natsume","2001-03-30"
155,22849,"~Hack~ The Legend of Zelda: Archipelago","Game Boy Color",6,184,184,184,14,0,"","Nobody","Hack - The Legend of Zelda: Oracle of Ages","2020-06-05"
156,9269,"~Hack~ Pokémon Kalos Crystal","Game Boy Color",6,181,181,181,81,0,"Turn-Based RPG","Azure Keys","Hack - Pokemon Crystal Version","2018-01-01"
157,6009,"Barbie: Fashion Pack Games","Game Boy Color",6,181,181,181,8,0,"Minigames","Hyperspace Cowgirls","Mattel","2000-08-15"
158,2499,"Noddy and the Birthday Party","Game Boy Color",6,180,180,180,20,0,"2D Platforming, Educational","Tiertex Design Studios","BBC Multimedia","2000-12-30"
