rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
75,12032,The King of Fighters '99: Millennium Battle,Arcade,27,1406,1406,1406,74,0,2D Fighting,SNK,SNK,1999-07-22,"The King of Fighters '99: Millennium Battle, also called KOF '99, is a 1999 fighting game developed and published by SNK for the Neo Geo MVS arcade and home consoles in 1999. It is the sixth installment in The King of Fighters series following The King of Fighters '98, introducing a new story arc known as the NESTS Chronicles which is centered around a young man named K', who is formerly associated with a mysterious organization known only as NESTS. The game introduces several changes to the established KOF format, most notably an assisting character labeled Striker. The game was ported to the Neo Geo CD and the PlayStation. Dreamcast and Microsoft Windows versions were also released under the title The King of Fighters' 99: Evolution whose stages were remodeled in 3D.",https://media.retroachievements.org/Images/120962.png,https://media.retroachievements.org/Images/016424.png,https://media.retroachievements.org/Images/016412.png,https://media.retroachievements.org/Images/016418.png,4.3
76,17678,Spider-Man: The Videogame,Arcade,27,1388,1388,1388,9,0,Beat 'em Up,Sega,Sega,1991-09-01,"Spider-Man: The Video Game, also known as Spider-Man, is a 1991 arcade video game developed by Sega based on the Marvel Comics character Spider-Man.",https://media.retroachievements.org/Images/107611.png,https://media.retroachievements.org/Images/046461.png,https://media.retroachievements.org/Images/046459.png,https://media.retroachievements.org/Images/046462.png,4.3
77,11853,Shinobi,Arcade,27,1349,1349,1349,28,0,,Sega,Sega,1987-11-01,"A ninja , shinobi no mono  or shinobi  was a spy and infiltrator in pre-modern Japan. Antecedents may have existed as early as the 12th century. There is little evidence that they were assassins.",https://media.retroachievements.org/Images/110100.png,https://media.retroachievements.org/Images/057191.png,https://media.retroachievements.org/Images/019173.png,https://media.retroachievements.org/Images/019174.png,4.3
78,13784,King of the Monsters,Arcade,27,1347,1347,1347,49,0,"Fighting (Kaiju, Wrestling)",SNK,SNK,1991-02-01,"King of the Monsters is a fighting game developed by SNK, released for arcades in Japan in 1991, and ported to the Neo Geo AES later that same year. The game features playable giant monsters that are reminiscent of characters from kaiju and tokusatsu films.",https://media.retroachievements.org/Images/033265.png,https://media.retroachievements.org/Images/033264.png,https://media.retroachievements.org/Images/022055.png,https://media.retroachievements.org/Images/022056.png,4.3
79,14654,Ultimate Mortal Kombat 3,Arcade,27,1334,1334,1334,65,0,2D Fighting,Midway,Midway,1995-11-06,"Ultimate Mortal Kombat 3 is a 1995 fighting game developed and published by Midway for arcades. Part of the Mortal Kombat series, it is a standalone update of 1995's earlier Mortal Kombat 3 with an altered gameplay system and some new features, as well as additional characters like the returning favorites Reptile, Kitana, Jade and Scorpion, who were missing from Mortal Kombat 3.",https://media.retroachievements.org/Images/122181.png,https://media.retroachievements.org/Images/055562.png,https://media.retroachievements.org/Images/027506.png,https://media.retroachievements.org/Images/027507.png,4.3
80,11946,Mario Bros.,Arcade,27,1329,1329,1329,22,0,2D Platforming,,Nintendo,1983-07-14,"Mario Bros. is a 1983 platform game developed and published by Nintendo for arcades. It was designed by Shigeru Miyamoto and Gunpei Yokoi, Nintendo's chief engineer. Players control Italian twin brother plumbers Mario and Luigi as they exterminate turtle-like creatures, giant flies, and crabs emerging from the sewers of New York City by knocking them upside-down and kicking them away. The Famicom/NES version was the first game to be developed by Intelligent Systems. It is part of the Mario franchise and the first spin-off of the Donkey Kong series.",https://media.retroachievements.org/Images/060942.png,https://media.retroachievements.org/Images/019366.png,https://media.retroachievements.org/Images/019363.png,https://media.retroachievements.org/Images/019364.png,4.3
81,12261,Street Fighter,Arcade,27,1320,1320,1320,39,0,2D Fighting,Capcom,Capcom,1987-08-30,"Street Fighter is a Japanese media franchise centered on a series of fighting games developed and published by Capcom. The first game in the series was released in 1987, followed by the other six main games in the series, various spin-offs and crossovers, and numerous appearances in other media. Its best-selling 1991 release, Street Fighter II, established many of the conventions of the one-on-one fighting genre.",https://media.retroachievements.org/Images/070391.png,https://media.retroachievements.org/Images/115504.png,https://media.retroachievements.org/Images/049573.png,https://media.retroachievements.org/Images/049574.png,4.3
82,12380,Strikers 1945,Arcade,27,1301,1301,1301,39,0,Shoot 'em Up,Psikyo,Psikyo,1995-01-01,"Strikers 1945 (ストライカーズ1945), also known as Striker 1945, is a vertically scrolling shoot 'em up bullet hell arcade game developed and published by Psikyo in 1995. In Japan, it was ported to the PlayStation and Sega Saturn by Atlus in 1996; later was also released as part of Psikyo Shooting Collection Vol. 1: Strikers 1945 I & II by Taito for the PlayStation 2. The game was followed by Strikers 1945 II in 1997, and Strikers 1945 III in 1999, as well as the second title remake called Strikers 1945 Plus.",https://media.retroachievements.org/Images/068029.png,https://media.retroachievements.org/Images/025230.png,https://media.retroachievements.org/Images/025228.png,https://media.retroachievements.org/Images/025229.png,4.3
83,12139,Galaxian,Arcade,27,1296,1296,1296,24,0,Shoot 'em Up,Namco,Midway,1979-10-01,"Galaxian is a 1979 fixed shooter video game developed and published by Namco for arcades during early video games' golden age. The player assumes control of the Galaxip starfighter in its mission to protect Earth from waves of aliens. Gameplay involves destroying each formation of aliens, who dive down towards the player in an attempt to hit them.",https://media.retroachievements.org/Images/119282.png,https://media.retroachievements.org/Images/073953.png,https://media.retroachievements.org/Images/033527.png,https://media.retroachievements.org/Images/033528.png,4.3
84,15015,Centipede,Arcade,27,1290,1290,1290,40,0,Shoot 'em Up,Atari,Atari,1981-06-15,"Centipedes are predatory arthropods belonging to the class Chilopoda of the subphylum Myriapoda, an arthropod group which includes millipedes and other multi-legged animals. Centipedes are elongated segmented (metameric) animals with one pair of legs per body segment. All centipedes are venomous and can inflict painful stings, injecting their venom through pincer-like appendages known as forcipules or toxicognaths, which are actually modified legs instead of fangs. Despite the name, no species of centipede has exactly 100 legs; the number of pairs of legs is an odd number that ranges from 15 pairs to 191 pairs.",https://media.retroachievements.org/Images/103392.png,https://media.retroachievements.org/Images/085580.png,https://media.retroachievements.org/Images/085579.png,https://media.retroachievements.org/Images/086284.png,4.3
